market,code,name,date,close,change_pct,cond1_ma20,cond2_kd,cond3_chips,cond4_margin_ok,cond5_breakout_vol,cond6_momentum,cond7_bollinger,checklist_count,tier,score,notes
TWSE,2891,中信金,20260915,69.7,2.3494860499265786,True,True,True,True,True,False,False,5,值得研究,90.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；投信連買3日+；外資+投信同步買超；帶量突破近20日高且收盤站穩
TWSE,3029,零壹,20260915,118.5,1.7167381974248928,True,True,False,True,False,True,True,5,值得研究,52.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；MACD翻紅+RSI區間內+5日線在10日線上；站上布林上軌且上軌向上(波動擴張)
TWSE,2427,三商電,20260915,24.35,6.798245614035088,True,False,False,True,True,False,True,4,等待確認,60.0,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,2468,華經,20260915,43.25,9.91105463786531,True,False,False,True,True,False,True,4,等待確認,60.0,站穩月線且月線向上；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,2905,三商,20260915,18.85,1.8918918918918917,True,False,False,True,True,False,True,4,等待確認,57.5,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,3045,台灣大,20260915,124.0,2.05761316872428,True,False,False,True,True,False,True,4,等待確認,57.5,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,3311,閎暉,20260915,36.8,5.142857142857142,True,False,False,True,True,False,True,4,等待確認,57.5,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,6689,伊雲谷,20260915,69.3,-1.702127659574468,True,False,False,True,False,True,True,4,等待確認,49.0,站穩月線且月線向上；⚠️爆量但留長上影線；MACD翻紅+RSI區間內+5日線在10日線上；站上布林上軌且上軌向上(波動擴張)
TWSE,4915,致伸,20260915,65.6,1.5479876160990713,True,True,False,True,False,False,True,4,等待確認,47.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；站上布林上軌且上軌向上(波動擴張)
TWSE,00715L,期街口布蘭特正2,20260915,71.4,1.2765957446808511,True,True,False,True,False,False,True,4,等待確認,40.5,站穩月線且月線向上；⚠️高檔鈍化已久，KD打勾勿單純追價；外資當天淨買超；站上布林上軌且上軌向上(波動擴張)
TWSE,7765,中華資安,20260915,235.0,-2.083333333333333,True,False,False,True,False,True,True,4,等待確認,37.0,剛站回月線(觀察)；⚠️爆量但留長上影線；MACD翻紅+RSI區間內+5日線剛穿上10日線；站上布林上軌且上軌向上(波動擴張)
TWSE,3406,玉晶光,20260915,915.0,-4.088050314465408,True,False,True,True,False,False,False,3,等待確認,60.0,站穩月線且月線向上；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,6196,帆宣,20260915,518.0,-0.38461538461538464,True,False,True,True,False,False,False,3,等待確認,60.0,站穩月線且月線向上；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,8926,台汽電,20260915,57.4,0.0,True,False,True,True,False,False,False,3,等待確認,57.5,站穩月線且月線向上；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,6226,光鼎,20260915,36.3,10.0,True,True,False,True,False,False,False,3,等待確認,57.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；量增收紅但尚未突破前高
TWSE,2371,大同,20260915,28.1,1.6274864376130196,True,True,False,True,False,False,False,3,等待確認,54.5,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；量增收紅但尚未突破前高
TWSE,6668,中揚光,20260915,42.7,1.1848341232227488,True,True,False,True,False,False,False,3,等待確認,46.5,站穩月線且月線向上；K上穿D golden cross；⚠️爆量但留長上影線
TWSE,2471,資通,20260915,51.7,1.5717092337917484,True,False,False,True,False,False,True,3,等待確認,44.0,站穩月線且月線向上；外資當天淨買超；⚠️爆量但留長上影線；站上布林上軌且上軌向上(波動擴張)
TWSE,6112,邁達特,20260915,48.15,-4.841897233201582,True,False,False,True,False,True,False,3,等待確認,44.0,站穩月線且月線向上；⚠️爆量但留長上影線；MACD翻紅+RSI區間內+5日線在10日線上
TWSE,6706,惠特,20260915,143.5,-4.966887417218543,True,False,False,True,False,False,True,3,等待確認,44.0,站穩月線且月線向上；⚠️爆量但留長上影線；站上布林上軌且上軌向上(波動擴張)
TWSE,6861,睿生光電,20260915,228.0,-3.1847133757961785,True,False,False,True,False,False,True,3,等待確認,44.0,站穩月線且月線向上；⚠️爆量但留長上影線；站上布林上軌且上軌向上(波動擴張)
TWSE,1528,恩德,20260915,24.65,5.793991416309014,True,False,False,True,False,False,True,3,等待確認,41.5,站穩月線且月線向上；⚠️爆量但留長上影線；站上布林上軌且上軌向上(波動擴張)
TWSE,2305,全友,20260915,44.95,-0.4429678848283499,True,False,False,True,False,False,True,3,等待確認,41.5,站穩月線且月線向上；⚠️爆量但留長上影線；站上布林上軌且上軌向上(波動擴張)
TWSE,2845,遠東銀,20260915,13.6,-1.0909090909090908,True,False,False,True,False,True,False,3,等待確認,40.0,站穩月線且月線向上；MACD翻紅+RSI區間內+5日線在10日線上
TWSE,4904,遠傳,20260915,106.5,0.4716981132075472,True,False,False,True,False,False,True,3,等待確認,40.0,站穩月線且月線向上；外資當天淨買超；站上布林上軌且上軌向上(波動擴張)
TWSE,2254,巨鎧精密-創,20260915,73.1,3.248587570621469,True,False,False,True,False,False,True,3,等待確認,37.5,站穩月線且月線向上；站上布林上軌且上軌向上(波動擴張)
TWSE,2412,中華電,20260915,143.5,0.7017543859649122,True,False,False,True,False,False,True,3,等待確認,37.5,站穩月線且月線向上；外資當天淨買超；站上布林上軌且上軌向上(波動擴張)
TWSE,6416,瑞祺電通,20260915,118.0,-0.8403361344537815,True,False,False,True,False,False,True,3,等待確認,37.5,站穩月線且月線向上；外資當天淨買超；站上布林上軌且上軌向上(波動擴張)
TWSE,00642U,期元大S&P石油,20260915,33.92,0.8923259964306959,True,True,False,True,False,False,False,3,等待確認,35.5,站穩月線且月線向上；⚠️高檔鈍化已久，KD打勾勿單純追價；外資當天淨買超
TWSE,00757,統一FANG+,20260915,138.85,1.2395187750637986,True,True,False,True,False,False,False,3,等待確認,31.5,剛站回月線(觀察)；K由下往上轉；外資當天淨買超；⚠️爆量但留長上影線
TWSE,6213,聯茂,20260915,519.0,0.7766990291262136,False,True,True,True,False,False,False,3,等待確認,31.5,K上穿D golden cross；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,2395,研華,20260915,685.0,2.2388059701492535,True,True,False,True,False,False,False,3,等待確認,30.5,剛站回月線(觀察)；K上穿D golden cross；外資當天淨買超
TWSE,00632R,元大台灣50反1,20260915,10.03,0.6018054162487463,True,False,False,True,False,True,False,3,等待確認,28.0,剛站回月線(觀察)；外資當天淨買超；MACD翻紅+RSI區間內+5日線剛穿上10日線
TWSE,9933,中鼎,20260915,41.9,1.6990291262135921,True,False,False,True,False,True,False,3,等待確認,28.0,剛站回月線(觀察)；外資當天淨買超；MACD翻紅+RSI區間內+5日線剛穿上10日線
TWSE,9904,寶成,20260915,24.25,0.8316008316008316,False,True,True,True,False,False,False,3,等待確認,27.8,K由下往上轉；外資當天淨買超；投信連買3日+；外資+投信同步買超
