market,code,name,date,close,change_pct,cond1_ma20,cond2_kd,cond3_chips,cond4_margin_ok,cond5_breakout_vol,checklist_count,tier,score,notes
TWSE,1558,伸興,20260902,105.5,2.4271844660194173,True,True,True,True,True,5,🔥主力觀察名單,97.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,4976,佳凌,20260902,41.55,9.920634920634921,True,True,True,True,True,5,🔥主力觀察名單,97.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,6224,聚鼎,20260902,85.0,9.96119016817594,True,True,True,True,True,5,🔥主力觀察名單,97.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,1762,中化生,20260902,36.2,1.1173184357541899,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2464,盟立,20260902,202.0,0.0,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2455,全新,20260902,542.0,3.435114503816794,True,False,True,True,True,4,值得研究,85.0,站穩月線且月線向上；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,5607,遠雄港,20260902,55.6,7.543520309477755,True,True,True,True,False,4,值得研究,84.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,6112,邁達特,20260902,46.0,1.8826135105204873,True,True,True,True,False,4,值得研究,84.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,3380,明泰,20260902,30.05,5.996472663139329,True,False,True,True,True,4,值得研究,82.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,2301,光寶科,20260902,315.0,4.825291181364393,True,True,True,True,False,4,值得研究,80.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,7780,大研生醫*,20260902,17.05,1.1869436201780417,True,True,True,True,False,4,值得研究,78.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；量增收紅但尚未突破前高
TWSE,1710,東聯,20260902,16.35,1.5527950310559004,True,True,True,True,False,4,值得研究,77.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買
TWSE,1909,榮成,20260902,11.35,3.1818181818181817,True,True,True,True,False,4,值得研究,77.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買
TWSE,2362,藍天,20260902,48.7,2.0964360587002093,True,True,True,True,False,4,值得研究,77.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買
TWSE,2820,華票,20260902,16.75,1.2084592145015105,True,True,True,True,False,4,值得研究,77.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買
TWSE,3504,揚明光,20260902,94.3,8.142201834862385,True,True,True,True,False,4,值得研究,77.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買
TWSE,6442,光聖,20260902,1795.0,9.785932721712538,True,False,True,True,True,4,值得研究,76.0,站穩月線且月線向上；投信連買2日+；帶量突破近20日高且收盤站穩
TWSE,1723,中碳,20260902,87.0,1.6355140186915886,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,2023,燁輝,20260902,13.85,1.094890510948905,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,2466,冠西電,20260902,104.0,4.522613065326634,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,3530,晶相光,20260902,59.9,1.5254237288135595,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,6272,驊陞,20260902,27.65,9.940357852882704,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,8215,明基材,20260902,26.3,4.158415841584159,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,8249,菱光,20260902,41.65,1.5853658536585367,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,5546,永固-KY,20260902,14.7,2.7972027972027975,True,True,True,True,False,4,值得研究,71.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買
TWSE,8996,高力,20260902,1265.0,7.659574468085106,True,True,True,True,False,4,值得研究,71.0,站穩月線且月線向上；K上穿D golden cross；投信連買2日+
TWSE,6838,台新藥,20260902,23.6,2.608695652173913,True,True,True,True,False,4,值得研究,70.5,剛站回月線(觀察)；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,3545,敦泰,20260902,52.5,5.2104208416833675,True,True,False,True,True,4,值得研究,70.0,站穩月線且月線向上；K上穿D golden cross；帶量突破近20日高且收盤站穩
TWSE,6592,和潤企業,20260902,61.2,1.661129568106312,True,True,True,True,False,4,值得研究,66.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買
TWSE,3019,亞光,20260902,157.5,9.75609756097561,True,True,False,True,True,4,值得研究,65.5,站穩月線且月線向上；K由下往上轉；帶量突破近20日高且收盤站穩
TWSE,5285,界霖,20260902,89.6,9.938650306748466,True,True,False,True,True,4,值得研究,65.5,站穩月線且月線向上；K由下往上轉；帶量突破近20日高且收盤站穩
TWSE,2838,聯邦銀,20260902,20.55,1.4814814814814814,True,True,True,True,False,4,值得研究,63.0,剛站回月線(觀察)；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買
TWSE,4915,致伸,20260902,60.3,0.8361204013377926,True,True,True,True,False,4,值得研究,63.0,剛站回月線(觀察)；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買
TWSE,3008,大立光,20260902,7810.0,3.034300791556728,True,True,True,True,False,4,值得研究,60.5,站穩月線且月線向上；⚠️高檔鈍化已久，KD打勾勿單純追價；外資由賣轉買
TWSE,3045,台灣大,20260902,116.0,0.4329004329004329,True,True,True,True,False,4,值得研究,60.5,站穩月線且月線向上；⚠️高檔鈍化已久，KD打勾勿單純追價；投信連買2日+
TWSE,6281,全國電,20260902,51.5,0.38986354775828463,True,True,True,True,False,4,值得研究,58.5,剛站回月線(觀察)；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,8478,東哥遊艇,20260902,144.5,1.7605633802816902,True,True,True,True,False,4,值得研究,57.0,剛站回月線(觀察)；K上穿D golden cross；三大法人合計由賣轉買
TWSE,4526,東台,20260902,31.25,2.2913256955810146,True,False,True,True,False,3,等待確認,74.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2353,宏碁,20260902,32.15,1.2598425196850396,True,False,True,True,False,3,等待確認,68.0,站穩月線且月線向上；投信連買2日+；量增收紅但尚未突破前高
TWSE,3515,華擎,20260902,228.5,1.7817371937639197,True,False,True,True,False,3,等待確認,68.0,站穩月線且月線向上；投信連買2日+；量增收紅但尚未突破前高
TWSE,1789,神隆,20260902,19.0,0.0,True,False,True,True,False,3,等待確認,67.0,站上月線；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2374,佳能,20260902,70.1,2.037845705967977,True,False,True,True,False,3,等待確認,66.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買；⚠️爆量但留長上影線
TWSE,3041,揚智,20260902,23.8,2.586206896551724,True,False,True,True,False,3,等待確認,66.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買；⚠️爆量但留長上影線
TWSE,9802,鈺齊-KY,20260902,72.1,0.5578800557880057,True,False,True,True,False,3,等待確認,66.0,站穩月線且月線向上；外資由賣轉買；投信連買2日+；⚠️爆量但留長上影線
TWSE,1229,聯華,20260902,41.95,0.8413461538461539,True,False,True,True,False,3,等待確認,65.0,站穩月線且月線向上；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,2884,玉山金,20260902,40.5,1.5037593984962405,True,False,True,True,False,3,等待確認,65.0,站穩月線且月線向上；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,2903,遠百,20260902,22.35,0.6756756756756755,True,False,True,True,False,3,等待確認,65.0,站穩月線且月線向上；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,3450,聯鈞,20260902,602.0,-3.6799999999999997,True,False,True,True,False,3,等待確認,65.0,站穩月線且月線向上；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,6278,台表科,20260902,199.5,-0.25,True,False,True,True,False,3,等待確認,65.0,站穩月線且月線向上；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,6531,愛普*,20260902,957.0,-0.10438413361169101,True,False,True,True,False,3,等待確認,65.0,站穩月線且月線向上；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,1219,福壽,20260902,11.55,0.43478260869565216,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
TWSE,1232,大統益,20260902,156.5,-0.3184713375796179,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
TWSE,1303,南亞,20260902,237.5,1.279317697228145,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；投信連買2日+；三大法人合計由賣轉買
TWSE,1304,台聚,20260902,12.6,-0.3952569169960474,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
TWSE,1309,台達化,20260902,13.8,-0.3610108303249097,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
TWSE,1310,台苯,20260902,8.97,1.3559322033898302,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
