market,code,name,date,close,change_pct,cond1_ma20,cond2_kd,cond3_chips,cond4_margin_ok,cond5_breakout_vol,checklist_count,tier,score,notes
TWSE,3591,艾笛森,20260904,24.9,9.691629955947139,True,True,True,True,True,5,🔥主力觀察名單,97.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,4737,華廣,20260904,58.6,1.559792027729636,True,True,True,True,True,5,🔥主力觀察名單,97.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,6271,同欣電,20260904,237.0,9.976798143851507,True,True,True,True,True,5,🔥主力觀察名單,97.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,00940,元大台灣價值高息,20260904,13.01,1.7996870109546168,True,True,True,True,True,5,🔥主力觀察名單,91.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；帶量突破近20日高且收盤站穩
TWSE,0055,元大MSCI金融,20260904,49.0,1.6597510373443984,True,True,True,True,True,5,🔥主力觀察名單,86.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；帶量突破近20日高且收盤站穩
TWSE,2382,廣達,20260904,345.0,2.9850746268656714,True,True,True,True,True,5,🔥主力觀察名單,86.5,站穩月線且月線向上；K由下往上轉；投信連買2日+；帶量突破近20日高且收盤站穩
TWSE,1457,宜進,20260904,14.5,0.6944444444444445,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,1568,倉佑,20260904,29.45,2.6132404181184667,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2324,仁寶,20260904,41.6,7.354838709677419,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2362,藍天,20260904,49.3,4.338624338624339,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2413,環科,20260904,45.8,9.963985594237696,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2516,新建,20260904,14.2,1.792114695340502,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,6672,騰輝電子-KY,20260904,289.0,9.885931558935361,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2353,宏碁,20260904,32.7,4.639999999999999,True,True,True,True,False,4,值得研究,87.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買；量增收紅但尚未突破前高
