market,code,name,date,side,close,change_pct,volume_lots,turnover_e8,atr_pct,vol_ratio,close_pos,daytrade_ratio,condA_volatility,condB_liquidity,condC_volume,condD_close,condE_trend,condF_chips,checklist_count,score,high,low,pivot,r1,s1,atr,stop_dist,notes
TWSE,3042,晶技,20260924,多,203.0,2.525252525252525,41859,84.97,5.82,3.13,0.61,,True,True,True,False,True,True,5,93.2,212.0,189.0,201.33,213.67,190.67,11.82,5.91,量能放大3.1倍；突破近20日高點；法人同步買超
TWSE,6672,騰輝電子-KY,20260924,多,337.5,9.93485342019544,15310,51.67,5.2,2.61,1.0,,True,True,True,True,True,True,6,90.0,337.5,315.0,330.0,345.0,322.5,17.54,8.77,量能放大2.6倍；收在最高附近，尾盤強；突破近20日高點；法人同步買超；⚠️收漲停附近，明天容易跳空開高，追價風險大
TWSE,1708,東鹼,20260924,多,52.3,4.39121756487025,7343,3.84,2.86,3.45,0.73,,True,True,True,True,True,True,6,89.3,53.1,50.1,51.83,53.57,50.57,1.5,0.75,量能放大3.4倍；收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,3167,大量,20260924,多,949.0,6.629213483146068,8379,79.52,6.13,1.57,0.8,,True,True,True,True,True,True,6,87.6,968.0,871.0,929.33,987.67,890.67,58.17,29.09,量能放大1.6倍；收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,3016,嘉晶,20260924,多,160.0,9.965635738831615,49084,78.53,5.4,2.23,1.0,,True,True,True,True,True,True,6,86.4,160.0,147.0,155.67,164.33,151.33,8.65,4.32,量能放大2.2倍；收在最高附近，尾盤強；突破近20日高點；法人同步買超；⚠️收漲停附近，明天容易跳空開高，追價風險大
TWSE,3026,禾伸堂,20260924,多,810.0,5.46875,13190,106.84,7.2,1.3,0.82,,True,True,False,True,True,True,5,84.0,820.0,765.0,798.33,831.67,776.67,58.3,29.15,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,6533,晶心科,20260924,多,276.0,9.9601593625498,6688,18.46,5.16,2.23,1.0,,True,True,True,True,True,True,6,83.8,276.0,250.0,267.33,284.67,258.67,14.25,7.13,量能放大2.2倍；收在最高附近，尾盤強；均線多頭排列；法人同步買超；⚠️收漲停附近，明天容易跳空開高，追價風險大
TWSE,6139,亞翔,20260924,多,753.0,2.309782608695652,3399,25.6,3.99,1.23,0.93,,True,True,False,True,True,True,5,82.3,755.0,725.0,744.33,763.67,733.67,30.02,15.01,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,6531,愛普*,20260924,多,993.0,0.60790273556231,3109,30.87,5.92,1.15,0.78,,True,True,False,True,True,True,5,82.0,1005.0,951.0,983.0,1015.0,961.0,58.8,29.4,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,6285,啟碁,20260924,多,238.0,3.4782608695652173,5064,12.05,3.83,1.5,0.78,,True,True,False,True,True,True,5,81.9,240.5,229.0,235.83,242.67,231.17,9.11,4.55,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,8150,南茂,20260924,多,112.0,4.672897196261682,83883,93.95,5.55,1.15,0.78,,True,True,False,True,True,True,5,81.9,114.0,105.0,110.33,115.67,106.67,6.21,3.11,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,4566,時碩工業,20260924,多,74.3,9.911242603550301,7828,5.82,3.54,9.78,1.0,,True,True,True,True,True,True,6,81.5,74.3,66.9,71.83,76.77,69.37,2.63,1.31,量能放大9.8倍；收在最高附近，尾盤強；突破近20日高點；法人同步買超；⚠️收漲停附近，明天容易跳空開高，追價風險大
TWSE,2327,國巨*,20260924,多,580.0,1.2216404886561953,35926,208.37,5.75,1.1,0.69,,True,True,False,False,True,True,4,80.6,589.0,560.0,576.33,592.67,563.67,33.34,16.67,均線多頭排列；法人同步買超
TWSE,4770,上品,20260924,多,281.5,2.3636363636363638,4524,12.74,4.38,2.32,0.53,,True,True,True,False,True,True,5,80.2,290.0,272.0,281.17,290.33,272.33,12.32,6.16,量能放大2.3倍；突破近20日高點；法人同步買超
TWSE,1303,南亞,20260924,多,238.0,4.615384615384616,67158,159.84,6.09,0.95,0.97,,True,True,False,True,True,True,5,80.0,238.5,223.0,233.17,243.33,227.83,14.49,7.25,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,2449,京元電子,20260924,多,311.0,2.302631578947368,27019,84.03,4.94,0.56,0.7,,True,True,False,True,True,True,5,80.0,315.5,300.5,309.0,317.5,302.5,15.35,7.68,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,2492,華新科,20260924,多,311.5,1.7973856209150325,15597,48.58,6.68,0.77,0.7,,True,True,False,True,True,True,5,80.0,315.5,302.0,309.67,317.33,303.83,20.81,10.41,收在最高附近，尾盤強；均線多頭排列；法人同步買超
