market,code,name,date,side,close,change_pct,volume_lots,turnover_e8,atr_pct,vol_ratio,close_pos,daytrade_ratio,condA_volatility,condB_liquidity,condC_volume,condD_close,condE_trend,condF_chips,checklist_count,score,high,low,pivot,r1,s1,atr,stop_dist,notes
TWSE,3711,日月光投控,20260924,多,699.0,0.8658008658008658,10964,76.64,4.07,0.57,1.0,,True,True,False,True,True,True,5,80.0,699.0,680.0,692.67,705.33,686.33,28.45,14.22,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,2436,偉詮電,20260924,多,72.4,4.022988505747143,8606,6.23,3.74,1.59,1.0,,True,True,True,True,True,True,6,79.6,72.4,69.3,71.37,73.43,70.33,2.71,1.35,量能放大1.6倍；收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,8028,昇陽半導體,20260924,多,269.0,4.263565891472868,10322,27.77,4.84,1.0,0.82,,True,True,False,True,True,True,5,79.6,272.5,253.0,264.83,276.67,257.17,13.02,6.51,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,2301,光寶科,20260924,多,287.0,1.2345679012345678,9402,26.98,4.8,0.57,0.9,,True,True,False,True,True,True,5,79.4,288.0,278.0,284.33,290.67,280.67,13.77,6.89,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,3576,聯合再生,20260924,多,18.25,2.8169014084507045,48864,8.92,3.69,3.62,0.08,,True,True,True,False,True,True,5,78.7,18.8,18.2,18.42,18.63,18.03,0.67,0.34,量能放大3.6倍；均線多頭排列；法人同步買超
TWSE,6933,AMAX-KY,20260924,多,385.0,10.0,6076,23.39,6.15,2.85,1.0,,True,True,True,True,True,False,5,78.7,385.0,355.0,375.0,395.0,365.0,23.66,11.83,量能放大2.9倍；收在最高附近，尾盤強；突破近20日高點；⚠️收漲停附近，明天容易跳空開高，追價風險大
TWSE,3532,台勝科,20260924,多,452.5,1.6853932584269662,4617,20.89,6.16,0.58,0.97,,True,True,False,True,True,True,5,78.1,453.0,437.0,447.5,458.0,442.0,27.9,13.95,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,4919,新唐,20260924,多,136.0,1.4925373134328357,14436,19.63,5.49,0.68,0.71,,True,True,False,True,True,True,5,77.8,138.5,130.0,134.83,139.67,131.17,7.47,3.74,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,3189,景碩,20260924,多,962.0,6.181015452538632,44137,424.6,5.8,1.9,0.49,,True,True,True,False,True,True,5,77.0,996.0,929.0,962.33,995.67,928.67,55.79,27.9,量能放大1.9倍；突破近20日高點；法人同步買超
TWSE,3036,文曄,20260924,多,207.0,0.48543689320388345,6696,13.86,2.97,0.67,0.89,,True,True,False,True,True,True,5,76.0,207.5,203.0,205.83,208.67,204.17,6.15,3.08,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,1809,中釉,20260924,多,45.35,9.939393939393943,7084,3.21,4.14,2.27,1.0,,True,True,True,True,True,True,6,75.3,45.35,42.3,44.33,46.37,43.32,1.88,0.94,量能放大2.3倍；收在最高附近，尾盤強；突破近20日高點；法人同步買超；⚠️收漲停附近，明天容易跳空開高，追價風險大
TWSE,2603,長榮,20260924,多,243.0,0.0,4945,12.02,2.6,0.65,1.0,,True,True,False,True,True,True,5,75.2,243.0,239.0,241.67,244.33,240.33,6.33,3.16,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,3035,智原,20260924,多,206.5,1.2254901960784315,4855,10.03,4.2,0.61,0.88,,True,True,False,True,True,True,5,74.3,207.5,199.5,204.5,209.5,201.5,8.66,4.33,收在最高附近，尾盤強；均線多頭排列；法人同步買超
