market,code,name,date,close,change_pct,cond1_ma20,cond2_kd,cond3_chips,cond4_margin_ok,cond5_breakout_vol,cond6_momentum,cond7_bollinger,checklist_count,tier,score,notes
TWSE,1709,和益,20260916,39.05,10.0,True,True,False,True,True,True,True,6,值得研究,72.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；帶量突破近20日高且收盤站穩；MACD翻紅+RSI區間內+5日線在10日線上；站上布林上軌且上軌向上(波動擴張)
TWSE,2891,中信金,20260916,70.8,1.5781922525107603,True,False,True,True,True,False,True,5,值得研究,85.0,站穩月線且月線向上；外資當天淨買超；投信連買3日+；外資+投信同步買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,6168,宏齊,20260916,32.15,9.914529914529915,True,True,False,True,True,False,True,5,值得研究,70.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,3021,鴻名,20260916,27.1,9.939148073022313,True,True,False,True,True,False,True,5,值得研究,67.5,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,6112,邁達特,20260916,49.7,3.2191069574247138,True,True,False,True,False,True,True,5,值得研究,52.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；MACD翻紅+RSI區間內+5日線在10日線上；站上布林上軌且上軌向上(波動擴張)
TWSE,2353,宏碁,20260916,32.0,3.559870550161813,True,True,True,True,False,False,False,4,等待確認,76.5,站穩月線且月線向上；K由下往上轉；外資當天淨買超；投信連買3日+；外資+投信同步買超；量增收紅但尚未突破前高
TWSE,2303,聯電,20260916,142.0,2.527075812274368,True,True,True,True,False,False,False,4,等待確認,70.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,2603,長榮,20260916,239.0,2.355460385438972,True,True,True,True,False,False,False,4,等待確認,67.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,3026,禾伸堂,20260916,772.0,6.336088154269973,True,True,True,True,False,False,False,4,等待確認,67.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,3034,聯詠,20260916,548.0,1.2939001848428837,True,True,True,True,False,False,False,4,等待確認,67.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,00713,元大台灣高息低波,20260916,64.4,0.23346303501945526,True,True,True,True,False,False,False,4,等待確認,60.5,站穩月線且月線向上；⚠️高檔鈍化已久，KD打勾勿單純追價；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,2884,玉山金,20260916,46.45,1.7524644030668126,True,True,True,True,False,False,False,4,等待確認,60.5,站穩月線且月線向上；⚠️高檔鈍化已久，KD打勾勿單純追價；外資當天淨買超；投信連買3日+；外資+投信同步買超
