market,code,name,date,side,close,change_pct,volume_lots,turnover_e8,atr_pct,vol_ratio,close_pos,daytrade_ratio,condA_volatility,condB_liquidity,condC_volume,condD_close,condE_trend,condF_chips,checklist_count,score,high,low,pivot,r1,s1,atr,stop_dist,notes
TWSE,3016,嘉晶,20260923,多,145.5,9.811320754716983,31086,45.23,5.63,1.58,1.0,,True,True,True,True,True,True,6,77.8,145.5,141.5,144.17,146.83,142.83,8.19,4.1,量能放大1.6倍；收在最高附近，尾盤強；突破近20日高點；法人同步買超；⚠️收漲停附近，明天容易跳空開高，追價風險大
TWSE,6531,愛普*,20260923,多,987.0,5.674518201284797,3925,38.74,5.99,1.53,0.8,,True,True,True,True,False,True,5,77.0,999.0,940.0,975.33,1010.67,951.67,59.1,29.55,量能放大1.5倍；收在最高附近，尾盤強；法人同步買超
TWSE,2603,長榮,20260923,多,243.0,0.2061855670103093,5801,14.1,2.69,0.65,1.0,,True,True,False,True,True,True,5,76.1,243.0,239.0,241.67,244.33,240.33,6.54,3.27,收在最高附近，尾盤強；均線多頭排列；法人同步買超
TWSE,2302,麗正,20260923,多,45.75,4.691075514874135,13188,6.03,5.02,2.69,0.62,,True,True,True,False,True,False,4,75.7,46.85,43.95,45.52,47.08,44.18,2.3,1.15,量能放大2.7倍；均線多頭排列
TWSE,2347,聯強,20260923,多,94.5,5.116796440489426,5073,4.79,2.34,1.58,0.93,,False,True,True,True,True,True,5,75.0,94.8,90.4,93.23,96.07,91.67,2.21,1.1,量能放大1.6倍；收在最高附近，尾盤強；突破近20日高點；法人同步買超
TWSE,4938,和碩,20260923,多,91.3,1.4444444444444413,9342,8.53,2.48,1.25,0.68,,False,True,False,False,True,True,3,75.0,92.0,89.8,91.03,92.27,90.07,2.26,1.13,均線多頭排列；法人同步買超
TWSE,6139,亞翔,20260923,多,736.0,2.937062937062937,3750,27.6,4.08,1.6,0.53,,True,True,True,False,True,True,5,75.0,750.0,720.0,735.33,750.67,720.67,30.0,15.0,量能放大1.6倍；均線多頭排列；法人同步買超
TWSE,3167,大量,20260923,多,890.0,3.009259259259259,6390,56.87,6.2,1.37,0.7,,True,True,False,False,True,False,3,74.8,903.0,860.0,884.33,908.67,865.67,55.17,27.58,均線多頭排列
TWSE,2886,兆豐金,20260923,空,50.0,-0.9900990099009901,20938,10.47,2.79,0.8,0.28,,True,True,False,True,True,True,5,74.5,50.9,49.65,50.18,50.72,49.47,1.4,0.7,收在最低附近，尾盤弱；均線空頭排列；法人同步賣超
TWSE,1326,台化,20260923,空,65.4,-1.6541353383458561,15805,10.34,4.86,0.84,0.14,,True,True,False,True,True,True,5,74.4,67.2,65.1,65.9,66.7,64.6,3.18,1.59,收在最低附近，尾盤弱；均線空頭排列；法人同步賣超
TWSE,6672,騰輝電子-KY,20260923,多,307.0,1.6556291390728477,3277,10.06,5.38,0.53,0.75,,True,True,False,True,True,True,5,74.3,310.0,298.0,305.0,312.0,300.0,16.53,8.26,收在最高附近，尾盤強；均線多頭排列；法人同步買超
