market,code,name,date,close,change_pct,cond1_ma20,cond2_kd,cond3_chips,cond4_margin_ok,cond5_breakout_vol,cond6_momentum,cond7_bollinger,checklist_count,tier,score,notes
TWSE,2530,華建,20260918,20.8,3.225806451612903,True,True,True,True,False,False,True,5,值得研究,87.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；投信連買3日+；外資+投信同步買超；量增收紅但尚未突破前高；站上布林上軌且上軌向上(波動擴張)
TWSE,00913,兆豐台灣晶圓製造,20260918,51.3,4.608482871125611,True,True,False,True,True,False,True,5,值得研究,67.5,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,00927,群益半導體收益,20260918,38.73,3.0053191489361706,True,True,False,True,True,False,True,5,值得研究,67.5,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,2449,京元電子,20260918,291.5,10.0,True,True,False,True,True,False,True,5,值得研究,67.5,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,3605,宏致,20260918,154.0,10.0,True,True,False,True,True,False,True,5,值得研究,67.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,1442,名軒,20260918,31.4,1.6181229773462786,True,False,False,True,True,True,True,5,值得研究,65.0,站穩月線且月線向上；帶量突破近20日高且收盤站穩；MACD翻紅+RSI區間內+5日線在10日線上；站上布林上軌且上軌向上(波動擴張)
TWSE,2006,東和鋼鐵,20260918,87.6,6.181818181818182,True,False,False,True,True,True,True,5,值得研究,65.0,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；MACD翻紅+RSI區間內+5日線在10日線上；站上布林上軌且上軌向上(波動擴張)
TWSE,2034,允強,20260918,21.45,1.9002375296912115,True,False,False,True,True,True,True,5,值得研究,65.0,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；MACD翻紅+RSI區間內+5日線剛穿上10日線；站上布林上軌且上軌向上(波動擴張)
TWSE,3035,智原,20260918,190.5,6.424581005586592,True,False,False,True,True,True,True,5,值得研究,65.0,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；MACD翻紅+RSI區間內+5日線剛穿上10日線；站上布林上軌且上軌向上(波動擴張)
TWSE,3717,聯嘉投控,20260918,25.1,9.606986899563319,True,False,False,True,True,True,True,5,值得研究,65.0,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；MACD翻紅+RSI區間內+5日線剛穿上10日線；站上布林上軌且上軌向上(波動擴張)
