market,code,name,date,close,change_pct,cond1_ma20,cond2_kd,cond3_chips,cond4_margin_ok,cond5_breakout_vol,cond6_momentum,cond7_bollinger,checklist_count,tier,score,notes
TWSE,2412,中華電,20260914,142.5,1.4234875444839856,True,False,True,True,True,False,True,5,值得研究,82.5,站穩月線且月線向上；外資當天淨買超；投信連買3日+；外資+投信同步買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,2838,聯邦銀,20260914,21.6,2.6128266033254155,True,True,False,True,True,False,True,5,值得研究,70.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,5871,中租-KY,20260914,113.5,1.7937219730941705,True,True,True,True,False,False,False,4,等待確認,70.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,2303,聯電,20260914,142.5,1.4234875444839856,True,True,True,True,False,False,False,4,等待確認,67.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,2885,元大金,20260914,70.8,1.1428571428571428,True,True,True,True,False,False,False,4,等待確認,67.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,2891,中信金,20260914,68.1,1.490312965722802,True,True,True,True,False,False,False,4,等待確認,67.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,2886,兆豐金,20260914,52.5,1.5473887814313347,True,False,True,True,False,False,True,4,等待確認,65.0,站穩月線且月線向上；外資當天淨買超；投信連買3日+；外資+投信同步買超；站上布林上軌且上軌向上(波動擴張)
TWSE,2351,順德,20260914,257.0,9.82905982905983,True,True,False,True,True,False,False,4,等待確認,62.5,站穩月線且月線向上；K上穿D golden cross；帶量突破近20日高且收盤站穩
TWSE,1528,恩德,20260914,23.3,9.90566037735849,True,False,False,True,True,False,True,4,等待確認,60.0,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,2530,華建,20260914,20.6,0.0,True,False,False,True,True,False,True,4,等待確認,60.0,站穩月線且月線向上；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,3016,嘉晶,20260914,112.5,2.73972602739726,True,False,False,True,True,False,True,4,等待確認,60.0,站穩月線且月線向上；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,6689,伊雲谷,20260914,70.5,9.984399375975041,True,False,False,True,True,False,True,4,等待確認,60.0,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
