market,code,name,date,close,change_pct,cond1_ma20,cond2_kd,cond3_chips,cond4_margin_ok,cond5_breakout_vol,checklist_count,tier,score,notes
TWSE,9905,大華,20260910,21.5,0.7025761124121779,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,6226,光鼎,20260910,32.6,9.949409780775717,True,True,True,True,False,4,值得研究,84.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,1817,凱撒衛,20260910,40.5,1.5037593984962405,True,True,True,True,False,4,值得研究,83.0,站穩月線且月線向上；K上穿D golden cross；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,1303,南亞,20260910,244.0,3.171247357293869,True,True,True,True,False,4,值得研究,80.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,1712,興農,20260910,40.8,-0.12239902080783358,True,True,True,True,False,4,值得研究,80.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,1707,葡萄王,20260910,91.4,0.21929824561403508,True,True,True,True,False,4,值得研究,77.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買
TWSE,2535,達欣工,20260910,90.1,1.5783540022547913,True,True,True,True,False,4,值得研究,77.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買
TWSE,3029,零壹,20260910,113.0,1.8018018018018018,True,True,True,True,False,4,值得研究,77.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買
TWSE,3026,禾伸堂,20260910,803.0,5.936675461741425,True,False,True,True,True,4,值得研究,76.0,站穩月線且月線向上；投信連買2日+；帶量突破近20日高且收盤站穩
TWSE,2454,聯發科,20260910,4720.0,2.054054054054054,True,True,True,True,False,4,值得研究,75.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,2236,百達-KY,20260910,127.0,4.098360655737705,True,True,True,True,False,4,值得研究,75.0,剛站回月線(觀察)；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,3016,嘉晶,20260910,110.0,10.0,True,True,True,True,False,4,值得研究,75.0,剛站回月線(觀察)；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,3346,麗清,20260910,20.35,10.0,True,True,True,True,False,4,值得研究,75.0,剛站回月線(觀察)；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2816,旺旺保,20260910,39.05,0.7741935483870968,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,2905,三商,20260910,18.35,1.6620498614958445,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,3090,日電貿,20260910,171.0,3.0120481927710845,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,3661,世芯-KY,20260910,4055.0,3.841229193341869,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,6442,光聖,20260910,1800.0,5.88235294117647,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,6830,汎銓,20260910,591.0,2.604166666666667,True,True,True,True,False,4,值得研究,72.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買
TWSE,1101,台泥,20260910,24.8,0.20202020202020202,True,True,True,True,False,4,值得研究,71.0,站穩月線且月線向上；K上穿D golden cross；投信連買2日+
TWSE,2906,高林,20260910,13.9,0.7246376811594203,True,True,True,True,False,4,值得研究,71.0,站穩月線且月線向上；K上穿D golden cross；三大法人合計由賣轉買
TWSE,3443,創意,20260910,6225.0,5.063291139240507,True,True,True,True,False,4,值得研究,71.0,站穩月線且月線向上；K上穿D golden cross；投信連買2日+
TWSE,6861,睿生光電,20260910,204.0,9.973045822102426,True,True,True,True,False,4,值得研究,70.5,剛站回月線(觀察)；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2028,威致,20260910,16.0,1.5873015873015872,True,True,False,True,True,4,值得研究,70.0,站穩月線且月線向上；K上穿D golden cross；帶量突破近20日高且收盤站穩
TWSE,2883,凱基金,20260910,37.2,1.2244897959183674,True,True,True,True,False,4,值得研究,69.5,站穩月線且月線向上；⚠️高檔鈍化已久，KD打勾勿單純追價；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,8201,無敵,20260910,12.0,2.564102564102564,True,True,True,True,False,4,值得研究,67.0,剛站回月線(觀察)；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；⚠️爆量但留長上影線
TWSE,00701,國泰股利精選30,20260910,40.58,0.49529470034670636,True,True,True,True,False,4,值得研究,66.5,站穩月線且月線向上；⚠️高檔鈍化已久，KD打勾勿單純追價；外資由賣轉買；三大法人合計由賣轉買
TWSE,2352,佳世達,20260910,29.0,0.6944444444444445,True,True,True,True,False,4,值得研究,66.5,站穩月線且月線向上；K由下往上轉；投信連買2日+
TWSE,3017,奇鋐,20260910,3460.0,2.366863905325444,True,True,True,True,False,4,值得研究,66.5,站穩月線且月線向上；K由下往上轉；投信連買2日+
TWSE,3653,健策,20260910,5790.0,0.5208333333333333,True,True,True,True,False,4,值得研究,66.5,站穩月線且月線向上；K由下往上轉；投信連買2日+
TWSE,2387,精元,20260910,36.7,0.0,True,True,True,True,False,4,值得研究,57.0,剛站回月線(觀察)；K上穿D golden cross；投信連買2日+
TWSE,3014,聯陽,20260910,131.5,0.38167938931297707,True,True,True,True,False,4,值得研究,57.0,剛站回月線(觀察)；K上穿D golden cross；投信連買2日+
TWSE,1614,三洋電,20260910,31.1,1.6339869281045754,True,True,False,True,True,4,值得研究,56.0,剛站回月線(觀察)；K上穿D golden cross；帶量突破近20日高且收盤站穩
TWSE,00938,凱基優選30,20260910,26.47,0.3411675511751327,True,False,True,True,False,3,等待確認,68.0,站穩月線且月線向上；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,6505,台塑化,20260910,86.2,-1.4857142857142858,True,False,True,True,False,3,等待確認,68.0,站穩月線且月線向上；投信連買2日+；量增收紅但尚未突破前高
TWSE,3406,玉晶光,20260910,1070.0,-3.6036036036036037,True,False,True,True,False,3,等待確認,66.0,站穩月線且月線向上；投信連買2日+；三大法人合計由賣轉買；⚠️爆量但留長上影線
TWSE,2884,玉山金,20260910,44.95,1.5819209039548021,True,False,True,True,False,3,等待確認,65.0,站穩月線且月線向上；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買
TWSE,00738U,期元大道瓊白銀,20260910,53.75,2.186311787072243,True,True,False,True,False,3,等待確認,62.0,站穩月線且月線向上；K上穿D golden cross；量增收紅但尚未突破前高
TWSE,00939,統一台灣高息動能,20260910,23.74,0.042140750105351885,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
TWSE,1904,正隆,20260910,25.55,4.0733197556008145,True,True,False,True,False,3,等待確認,62.0,站穩月線且月線向上；K上穿D golden cross；量增收紅但尚未突破前高
TWSE,2030,彰源,20260910,23.65,-0.21097046413502113,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
TWSE,2069,運錩,20260910,23.0,-1.2875536480686696,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
TWSE,2207,和泰車,20260910,528.0,-0.37735849056603776,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；投信連買2日+；三大法人合計由賣轉買
TWSE,2436,偉詮電,20260910,68.2,-1.1594202898550725,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；投信連買2日+；三大法人合計由賣轉買
TWSE,2444,兆勁,20260910,11.2,-0.8849557522123895,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
TWSE,2449,京元電子,20260910,271.5,0.5555555555555556,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
TWSE,2481,強茂,20260910,154.5,1.644736842105263,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
TWSE,2812,台中銀,20260910,19.1,-0.26109660574412535,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
TWSE,2838,聯邦銀,20260910,20.9,-0.4761904761904762,True,False,True,True,False,3,等待確認,62.0,站穩月線且月線向上；外資由賣轉買；三大法人合計由賣轉買
