market,code,name,date,close,change_pct,cond1_ma20,cond2_kd,cond3_chips,cond4_margin_ok,cond5_breakout_vol,cond6_momentum,cond7_bollinger,checklist_count,tier,score,notes
TWSE,4532,瑞智,20260917,25.0,5.932203389830508,True,False,True,True,True,True,True,6,值得研究,90.0,站穩月線且月線向上；外資當天淨買超；投信連買3日+；外資+投信同步買超；帶量突破近20日高且收盤站穩；MACD翻紅+RSI區間內+5日線剛穿上10日線；站上布林上軌且上軌向上(波動擴張)
TWSE,7799,禾榮科,20260917,502.0,9.846827133479213,True,False,True,True,True,False,True,5,值得研究,82.5,站穩月線且月線向上；外資當天淨買超；投信連買3日+；外資+投信同步買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,1560,中砂,20260917,815.0,9.986504723346828,True,True,False,True,True,False,True,5,值得研究,70.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,2033,佳大,20260917,30.85,9.98217468805704,True,True,False,True,True,False,True,5,值得研究,70.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,2348,海悅,20260917,73.9,5.270655270655271,True,True,False,True,True,False,True,5,值得研究,70.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,3437,榮創,20260917,20.35,10.0,True,True,False,True,True,False,True,5,值得研究,67.5,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,6885,全福生技,20260917,29.5,8.455882352941176,True,True,False,True,True,False,True,5,值得研究,67.5,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,2836,高雄銀,20260917,12.5,2.0408163265306123,True,True,False,True,True,False,True,5,值得研究,67.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；帶量突破近20日高且收盤站穩；站上布林上軌且上軌向上(波動擴張)
TWSE,6133,金橋,20260917,26.05,9.915611814345993,True,False,False,True,True,True,True,5,值得研究,65.0,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；MACD翻紅+RSI區間內+5日線剛穿上10日線；站上布林上軌且上軌向上(波動擴張)
TWSE,8215,明基材,20260917,27.0,4.448742746615086,True,False,False,True,True,True,True,5,值得研究,65.0,站穩月線且月線向上；外資當天淨買超；帶量突破近20日高且收盤站穩；MACD翻紅+RSI區間內+5日線剛穿上10日線；站上布林上軌且上軌向上(波動擴張)
TWSE,2303,聯電,20260917,147.5,3.873239436619718,True,False,True,True,True,False,False,4,等待確認,80.0,站穩月線且月線向上；外資當天淨買超；投信連買3日+；外資+投信同步買超；帶量突破近20日高且收盤站穩
TWSE,1102,亞泥,20260917,35.3,1.0014306151645207,True,True,True,True,False,False,False,4,等待確認,76.5,站穩月線且月線向上；K由下往上轉；外資當天淨買超；投信連買3日+；外資+投信同步買超；量增收紅但尚未突破前高
TWSE,2353,宏碁,20260917,32.4,1.25,True,True,True,True,False,False,False,4,等待確認,74.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；投信連買3日+；外資+投信同步買超；⚠️爆量但留長上影線
TWSE,2382,廣達,20260917,344.0,1.0279001468428781,True,True,True,True,False,False,False,4,等待確認,70.0,站穩月線且月線向上；K上穿D golden cross；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,3014,聯陽,20260917,133.5,0.7547169811320755,True,False,True,True,False,False,True,4,等待確認,69.0,站穩月線且月線向上；外資當天淨買超；投信連買3日+；外資+投信同步買超；⚠️爆量但留長上影線；站上布林上軌且上軌向上(波動擴張)
TWSE,2855,統一證,20260917,52.5,1.744186046511628,True,True,True,True,False,False,False,4,等待確認,67.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；投信連買3日+；外資+投信同步買超
TWSE,2886,兆豐金,20260917,51.9,1.9646365422396856,True,True,True,True,False,False,False,4,等待確認,67.0,站穩月線且月線向上；K由下往上轉；外資當天淨買超；投信連買3日+；外資+投信同步買超
