market,code,name,date,close,change_pct,cond1_ma20,cond2_kd,cond3_chips,cond4_margin_ok,cond5_breakout_vol,checklist_count,tier,score,notes
TWSE,2884,玉山金,20260831,39.75,2.5806451612903225,True,True,True,True,True,5,🔥主力觀察名單,95.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,3006,晶豪科,20260831,292.5,8.534322820037106,True,True,True,True,True,5,🔥主力觀察名單,92.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,4771,望隼,20260831,215.0,4.368932038834951,True,True,True,True,True,5,🔥主力觀察名單,92.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,2023,燁輝,20260831,14.15,3.6630036630036633,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2201,裕隆,20260831,29.75,4.753521126760564,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2395,研華,20260831,677.0,1.195814648729447,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,4938,和碩,20260831,91.1,2.937853107344633,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,5871,中租-KY,20260831,117.0,3.5398230088495577,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,9105,泰金寶-DR,20260831,8.71,0.0,True,True,True,True,False,4,值得研究,89.0,站穩月線且月線向上；K上穿D golden cross；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2887,台新新光金,20260831,38.55,2.8000000000000003,True,False,True,True,True,4,值得研究,85.0,站穩月線且月線向上；外資由賣轉買；投信連買2日+；三大法人合計由賣轉買；帶量突破近20日高且收盤站穩
TWSE,1304,台聚,20260831,12.65,4.979253112033195,True,True,True,True,False,4,值得研究,84.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,1440,南紡,20260831,13.9,1.4598540145985401,True,True,True,True,False,4,值得研究,84.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2344,華邦電,20260831,182.5,0.5509641873278237,True,True,True,True,False,4,值得研究,84.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2543,皇昌,20260831,39.8,3.91644908616188,True,True,True,True,False,4,值得研究,84.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,2845,遠東銀,20260831,13.5,0.7462686567164178,True,True,True,True,False,4,值得研究,84.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
TWSE,6757,台灣虎航,20260831,56.1,1.8148820326678767,True,True,True,True,False,4,值得研究,84.5,站穩月線且月線向上；K由下往上轉；外資由賣轉買；三大法人合計由賣轉買；量增收紅但尚未突破前高
